name,quantity,price,total_price,store
paper towels,1,5.00,5.00,safeway
ground beef,1,5.00,5.00,safeway
yogurt,2,2.50,5.00,safeway
powerades,1,0.99,0.99,safeway
bacon,1,5.00,5.00,safeway
milk,1,6.00,6.00,safeway
mayo,1,8.00,8.00,safeway
oatmeal,1,4.00,4.00,safeway
elote,2,0.50,1.00,safeway
avocado/mango,10,1.00,10.00,safeway
chips,3,1.99,5.97,safeway
eggs,1,1.99,1.99,safeway
sausage,1,5.00,5.00,safeway
cream cheese,2,2.50,5.00,safeway
small trash bags,3,3.00,9.00,99 cent
consome de pollo,1,2.00,2.00,99 cent
sriracha,1,3.99,3.99,trader joes
ketchup,1,1.99,1.99,trader joes
corn starch,1,1.00,1.00,99 cent
dark soy sauce,1,1.00,1.00,99 cent
sesame oil,1,3.00,3.00,trader joes
grape tomatoes,1,4.00,4.00,trader joes
onion,1,1.00,1.00,target
ginger,1,1.00,1.00,trader joes
garlic,1,1.00,1.00,trader joes
basil,1,3.00,3.00,trader joes
cilantro,1,2.00,2.00,trader joes
extra firm tofu,1,5.00,5.00,trader joes
mozzarella,1,5.00,5.00,trader joes
spring roll wrapper,1,5.00,5.00,trader joes
tteokbokki,1,9.99,9.99,amazon
gochujang,1,9.99,9.99,amazon
